Poço,Profundidade (m),Porosidade (%),Densidade bulk rocha seca g/cm3,VP m/s 70 MPa,VS1 m/s 70 MPa,VS2 m/s 70 MPa,K1 GPa 70 MPa,K2 GPa 70 MPa,M1 GPa 70 MPa,M2 GPa 70 MPa,Tamanho do grão,Fração carbonática de microporos,Calcita,Dolomita,Quartzo,Ortoclásio,Albita,Argilas,Pirita,α KT,Litologia
1,0.5,0.82,2.7,6238,3202,3188,68.15,68.48,27.68,27.44,3,64.4,92.1,0,7.9,0,0,0,0,0.7,3
1,2.7,0.39,2.69,6494,3498,3400,69.47,71.89,32.87,31.06,3,70,98.9,0,1.1,0,0,0,0,0.7,2
1,9.85,0.62,2.68,6344,3231,3258,70.54,69.91,27.97,28.44,3,64.27,98.9,0,1.1,0,0,0,0,0.65,2
1,15.7,0.18,2.69,6172,3242,3268,64.87,64.27,28.32,28.77,3,69.43,99.2,0,0.8,0,0,0,0,0.7,2
1,21.1,0.44,2.69,6375,3196,3209,72.58,72.28,27.44,27.66,3,69.86,99.8,0,0.2,0,0,0,0,0.7,1
1,22.1,0.66,2.68,6368,3217,3230,71.81,71.51,27.78,28,2,69.5,99.3,0,0.7,0,0,0,0,0.7,1
1,25.55,0.24,2.69,6207,3221,3206,66.44,66.78,27.91,27.65,2,67.9,100,0,0,0,0,0,0,0.7,2
1,28.45,0.65,2.68,6243,3230,3243,67.11,66.81,27.93,28.16,4,61.87,99.8,0,0.2,0,0,0,0,0.62,1
1,30.4,1.05,2.67,6341,3260,3244,69.62,69.99,28.41,28.14,4,69.72,99.6,0,0.5,0,0,0,0,0.7,1
1,32.35,1.73,2.65,6110,3261,3269,61.36,61.18,28.18,28.32,2,71.35,99.1,0,0.9,0,0,0,0,0.72,2
1,34.4,0.93,2.67,6404,3446,3332,67.27,70.03,31.73,29.66,3,68.72,98.2,0,1.8,0,0,0,0,0.7,2
1,36.45,2.65,2.62,5702,3043,3030,52.89,53.16,24.28,24.08,3,58.75,97.9,0,2.1,0,0,0,0,0.6,1
1,42.4,4.44,2.58,5738,3091,3159,52.02,50.56,24.62,25.72,4,84.17,99,0,1,0,0,0,0,0.85,2
1,56.5,3.39,2.61,5846,3338,3296,50.34,51.31,29.03,28.31,4,34.38,98.2,0,1.8,0,0,0,0,0.35,2
1,64.4,6.4,2.49,4644,2741,2810,28.78,27.5,18.72,19.67,5,43.96,56.4,0,35.1,1.5,2.5,4.5,0,0.75,5
1,66.4,15.2,2.24,3773,2368,2431,15.13,14.23,12.55,13.23,5,52.5,75.7,0,23.4,0,0,0.9,0,0.7,4
1,72.5,15.2,2.26,3701,2242,2321,15.79,14.7,11.34,12.16,4,47.2,75.7,0,23.4,0,0,0.9,0,0.8,4
1,74.4,5.62,2.53,4623,2507,2547,32.89,32.2,15.91,16.42,4,36.5,75.7,0,23.4,0,0,0.9,0,0.5,4
1,76.45,8.61,2.46,4334,2471,2479,26.17,26.04,15.02,15.11,5,67.2,75.7,0,23.4,0,0,0.9,0,0.8,4
1,78.45,16.2,2.21,3730,2084,2248,17.93,15.84,9.59,11.16,5,46.9,75.7,0,23.4,0,0,0.9,0,0.7,4
1,80.4,20.8,2.06,3307,2032,2060,11.21,10.9,8.53,8.76,5,46,11.5,0,85.5,0,0,3,0,0.92,7
1,86.45,6.94,2.48,4890,3065,3029,28.25,28.98,23.31,22.76,4,16.9,23.2,0,76.8,0,0,0,0,0.6,6
1,92.4,11.7,2.33,4036,2585,2523,17.22,18.2,15.59,14.85,4,20.58,11.5,0,85.5,0,0,3,0,0.95,7
1,92.4,11.7,2.33,4036,2585,2523,17.22,18.2,15.59,14.85,4,20.58,11.5,0,85.5,0,0,3,0,0.95,7
